feature,importance
DRFP_1636,0.002464803931151415
DRFP_199,0.002423974809805668
DRFP_293,0.0024069418249310485
DRFP_279,0.002371154541092023
DRFP_340,0.0023339257137143603
DRFP_1532,0.002322209949631995
DRFP_1137,0.0023077447874322986
DRFP_587,0.0023014251950422794
DRFP_1930,0.0022855527742148252
Desc_NumAmine,0.002258860812807999
DRFP_863,0.002215344646219063
DRFP_1855,0.0022035912772288037
DRFP_2011,0.002180868934729979
DRFP_274,0.0021420138777417243
Desc_AromaticSubstituents,0.002128887149897549
DRFP_343,0.002060923443569902
DRFP_296,0.002060352667451881
DRFP_1294,0.0020467090290643398
DRFP_345,0.0020408595021871737
DRFP_1692,0.002032300384873587
Olefin Gem,0.0020289689361731524
DRFP_91,0.0019777937285977722
Desc_NumCarbonyl,0.0019413854935341499
Olefin Tri,0.0019242828718404026
DRFP_932,0.0019085985982042997
DRFP_575,0.001881990867227496
DRFP_1908,0.001870980433379372
DRFP_954,0.0017697403758889316
DRFP_2031,0.001769430434149692
DRFP_2014,0.0017659932972951605
Desc_NumAliphaticRings,0.0017522371928870178
DRFP_1332,0.0017484242430608216
Desc_IsE_Olefin,0.001746658076334064
DRFP_1174,0.001728012123647032
DRFP_650,0.0017268106306424847
DRFP_2046,0.001709076211672239
Desc_IsMonosubstituted,0.0017067111495850395
AD-mix alpha,0.0016944378927301535
DRFP_847,0.0016882769816382163
DRFP_627,0.0016635374865483301
DRFP_1790,0.001654312042752966
DRFP_61,0.0016395714531456573
AD-mix beta,0.0016296602524575102
DRFP_1836,0.0016167058015261885
DRFP_1165,0.001611337600709983
DRFP_1867,0.0016041739130958077
DRFP_371,0.0016026295400030685
DRFP_507,0.0015882443552506969
DRFP_1077,0.0015857854440107023
DRFP_1742,0.0015754157502015477
DRFP_1491,0.001575169635043912
DRFP_290,0.0015645029600275988
DRFP_356,0.0015618032313458447
DRFP_602,0.0015514556252845993
DRFP_975,0.001547775403895372
DRFP_1188,0.0015318484877732013
DRFP_496,0.0015298637786125386
Olefin Mono,0.0015291344740340634
DRFP_644,0.001526929259479577
DRFP_1646,0.0015222353597422326
DRFP_1401,0.0014642000766201845
DRFP_1826,0.0014603012659155329
DRFP_529,0.0014528044398584771
DRFP_1376,0.0014521757337266003
DRFP_334,0.0014463484162549483
DRFP_1336,0.001443674084797015
DRFP_420,0.0014387210548770055
DRFP_613,0.0014040335156151218
DRFP_33,0.001397226585521499
DRFP_1422,0.001392654216838306
DRFP_574,0.001391191224660664
DRFP_1710,0.0013898205199826465
DRFP_1400,0.0013782737390799623
DRFP_713,0.0013780530466150711
DRFP_99,0.0013778804522160256
DRFP_1696,0.0013764807796845877
DRFP_877,0.0013666823649638481
DRFP_1741,0.0013631851990377588
DRFP_1465,0.001360147278978163
DRFP_749,0.0013388311922097127
DRFP_710,0.0013318030293087435
DRFP_1092,0.0013136670446595227
DRFP_1056,0.0013024107949939814
DRFP_690,0.0012991788964393173
DRFP_1201,0.001297656710200572
DRFP_737,0.0012872103631417153
DRFP_1464,0.0012815976752968922
DRFP_55,0.0012813775114181598
DRFP_1886,0.0012773156597869302
DRFP_753,0.0012588998750424586
DRFP_881,0.0012568739144969072
DRFP_738,0.0012567314263518406
DRFP_1582,0.0012561702406844086
DRFP_1671,0.001243833409166311
DRFP_59,0.0012426258151420778
DRFP_1211,0.0012361516786786406
DRFP_798,0.0012331151397573868
DRFP_993,0.0012247260486130491
Desc_NumSaturatedRings,0.0012099397127945687
DRFP_815,0.0012088929099303121
DRFP_1022,0.001201753286639495
DRFP_125,0.0011972449838360195
DRFP_1447,0.0011968329764738294
DRFP_1427,0.0011965227421200423
DRFP_1058,0.00119483432670263
DRFP_1807,0.001186366486887954
Desc_NumSubstituents_C2,0.0011863054897826395
DRFP_2033,0.001182216465431607
DRFP_1264,0.0011782759661846036
DRFP_1570,0.0011765825166025353
DRFP_1877,0.0011733423228119468
DRFP_417,0.0011594713924923884
DRFP_452,0.0011568377402492221
DRFP_979,0.0011555651846556212
DRFP_42,0.0011483145139105971
DRFP_1715,0.0011426078262210216
DRFP_1424,0.0011398011453800398
DRFP_722,0.001139390179399526
DRFP_1581,0.0011350750227056066
DRFP_653,0.001110308043216601
DRFP_780,0.0011048990379800658
Desc_IsUnspecifiedStereo,0.0010997396968006757
